Heading A	Heading B	Heading C	Heading D	url A	url B	url C	url D	Long_Name	Short_Name	Units	Static_colourbar_url	Dynamic_colourbar_url	delta_t(yy/mm/dd/hr/mn/ss)
Temperature	4km	night	1	_ims_metopc_tir_qnrt_	t04	_night	_global_g0.5_qc0	"IMS-T (4km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t04.png	empty	empty
Temperature	8km	night	1	_ims_metopc_tir_qnrt_	t08	_night	_global_g0.5_qc0	"IMS-T (8km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t08.png	empty	empty
Temperature	11km	night	1	_ims_metopc_tir_qnrt_	t11	_night	_global_g0.5_qc0	"IMS-T (11km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t11.png	empty	empty
Temperature	15km	night	1	_ims_metopc_tir_qnrt_	t15	_night	_global_g0.5_qc0	"IMS-T (15km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t15.png	empty	empty
Temperature	20km	night	1	_ims_metopc_tir_qnrt_	t20	_night	_global_g0.5_qc0	"IMS-T (20km, 1night)"	T	K	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_t20.png	empty	empty
Water	TPW	day	1	_ims_metopc_tir_qnrt_	tpw	_day	_global_g0.5_qc0	IMS-TPW (1day)	TPW	mm	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_tpw.png	empty	empty
Water	1km	day	1	_ims_metopc_tir_qnrt_	w01	_day	_global_g0.5_qc0	"IMS-H2O (1km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w01.png	empty	empty
Water	4km	day	1	_ims_metopc_tir_qnrt_	w04	_day	_global_g0.5_qc0	"IMS-H2O (4km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w04.png	empty	empty
Water	8km	day	1	_ims_metopc_tir_qnrt_	w08	_day	_global_g0.5_qc0	"IMS-H2O (8km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w08.png	empty	empty
Water	11km	day	1	_ims_metopc_tir_qnrt_	w11	_day	_global_g0.5_qc0	"IMS-H2O (11km, 1day)"	H2O	ppmv	http://gws-access.jasmin.ac.uk/public/rsgnceo/nrt/qnrt_ims_iasi_metopc/quick_look_cesium/legend/cb_w11.png	empty	empty
